Campaign,Ad Group,Ad Type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Description 1,Description 2,Description 3,Description 4
1L Search - New Products,Phone Spam & Risk,Responsive search ad,https://www.1lookup.io/products/phone-spam-check,products,spam-check,Phone Spam & Risk Check,0-100 Risk Scores,Check Any Number for Spam,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,Cancel Anytime,"Check carrier, line type, spam score, and DNC status in one lookup.","Accuracy sourced direct from FCC and carrier data, updated daily. Start for free.","7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","One API for phone, email, IP, fraud, and enrichment data. 7-day free trial."
1L Search - New Products,Fraud Detection,Responsive search ad,https://www.1lookup.io/products/fraud-detection,products,fraud-api,Fraud Detection API,0-100 Risk Scores,Score Fraud in Real Time,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,Cancel Anytime,"One API for phone, email, IP, fraud, and enrichment data. 7-day free trial.","Validate phones, emails, and IPs through one API. Under 0.3 seconds per lookup.","7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.",Bulk CSV uploads and real-time API. 1000 requests/min included on every plan.
1L Search - New Products,IP Intelligence,Responsive search ad,https://www.1lookup.io/products/ip-lookup,products,ip-api,IP Intelligence API,"IP, VPN & Proxy Detection",IP Geolocation API,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,Cancel Anytime,"One API for phone, email, IP, fraud, and enrichment data. 7-day free trial.","Validate phones, emails, and IPs through one API. Under 0.3 seconds per lookup.","7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.",Bulk CSV uploads and real-time API. 1000 requests/min included on every plan.
1L Search - New Products,Data Enrichment & B2B Append,Responsive search ad,https://www.1lookup.io/products/b2b-contact-append,products,enrichment,Data Enrichment API,B2B Contact Append API,Enrich Contacts via API,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,Cancel Anytime,"One API for phone, email, IP, fraud, and enrichment data. 7-day free trial.",Bulk CSV uploads and real-time API. 1000 requests/min included on every plan.,"7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","Validate phones, emails, and IPs through one API. Under 0.3 seconds per lookup."
1L Search - New Products,Website Scrapers,Responsive search ad,https://www.1lookup.io/products/website-scraper,products,scraper-api,Website Scraper API,Website Contacts Scraper,Scrape Sites via API,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,Cancel Anytime,"One API for phone, email, IP, fraud, and enrichment data. 7-day free trial.",Bulk CSV uploads and real-time API. 1000 requests/min included on every plan.,"7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","Validate phones, emails, and IPs through one API. Under 0.3 seconds per lookup."
1L Search - New Products,SEO Data APIs,Responsive search ad,https://www.1lookup.io/products/domain-seo-intelligence,products,seo-data,SEO Data APIs,Backlink & DA Data API,Keyword Data API,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,Cancel Anytime,"One API for phone, email, IP, fraud, and enrichment data. 7-day free trial.",Bulk CSV uploads and real-time API. 1000 requests/min included on every plan.,"7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","Validate phones, emails, and IPs through one API. Under 0.3 seconds per lookup."
1L Search - New Products,Audio Transcription,Responsive search ad,https://www.1lookup.io/products/bulk-audio-transcription,products,transcription,Bulk Audio Transcription,Transcription API,Transcribe Audio at Scale,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,Cancel Anytime,"One API for phone, email, IP, fraud, and enrichment data. 7-day free trial.",Bulk CSV uploads and real-time API. 1000 requests/min included on every plan.,"7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","Validate phones, emails, and IPs through one API. Under 0.3 seconds per lookup."
1L Search - Free Tools,Carrier Lookup Free,Responsive search ad,https://www.1lookup.io/tools/carrier-lookup,tools,carrier-lookup,Free Carrier Lookup Tool,Check Any Carrier Free,No Signup Required,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,Cancel Anytime,"Free lookup tool, no signup required. Need volume? Plans from $99/month.","Check carrier, line type, spam score, and DNC status in one lookup.","Accuracy sourced direct from FCC and carrier data, updated daily. Start for free.","7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month."
1L Search - Free Tools,Email Verifier Free,Responsive search ad,https://www.1lookup.io/tools/email-verifier,tools,email-verifier,Free Email Verifier,Verify Any Email Free,No Signup Required,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,Cancel Anytime,"Free lookup tool, no signup required. Need volume? Plans from $99/month.",Verify email addresses in real time or clean entire lists. 7-day free trial.,"7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","Validate phones, emails, and IPs through one API. Under 0.3 seconds per lookup."
1L Search - Free Tools,Phone Validator Free,Responsive search ad,https://www.1lookup.io/tools/phone-number-lookup,tools,phone-lookup,Free Phone Validator,Validate Numbers Free,No Signup Required,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,Cancel Anytime,"Free lookup tool, no signup required. Need volume? Plans from $99/month.","Check carrier, line type, spam score, and DNC status in one lookup.","Accuracy sourced direct from FCC and carrier data, updated daily. Start for free.","7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month."
1L Search - Free Tools,Reverse Email Lookup,Responsive search ad,https://www.1lookup.io/products/reverse-email-append,products,reverse-email,Reverse Email Lookup,Reverse Email Append,Find Who Owns an Email,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,Cancel Anytime,"Validate phones, emails, and IPs through one API. Under 0.3 seconds per lookup.",Bulk CSV uploads and real-time API. 1000 requests/min included on every plan.,"7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.",Stop paying for bad data. Millions of lookups processed at under 0.3 seconds each.
1L Search - Brand,Brand,Responsive search ad,https://www.1lookup.io,official,free-trial,1Lookup Official Site,Validate Any Phone Instantly,The Data Validation API,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,Cancel Anytime,"Official 1Lookup site. Validate any phone, email, or IP instantly. Start for free.","Validate phones, emails, and IPs through one API. Under 0.3 seconds per lookup.","7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.",Bulk CSV uploads and real-time API. 1000 requests/min included on every plan.
1L Search - Competitors,Numverify,Responsive search ad,https://www.1lookup.io/compare/numverify,compare,numverify,The Smarter Alternative,Compare Pricing & Coverage,Switch in 5 Minutes,See the Comparison,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,"See how 1Lookup compares on pricing, coverage, and speed before you switch.","7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","Validate phones, emails, and IPs through one API. Under 0.3 seconds per lookup.",Stop paying for bad data. Millions of lookups processed at under 0.3 seconds each.
1L Search - Competitors,Twilio Lookup,Responsive search ad,https://www.1lookup.io/compare/twilio-lookup,compare,twilio-lookup,The Smarter Alternative,Compare Pricing & Coverage,Switch in 5 Minutes,See the Comparison,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,"See how 1Lookup compares on pricing, coverage, and speed before you switch.","7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","Validate phones, emails, and IPs through one API. Under 0.3 seconds per lookup.",Stop paying for bad data. Millions of lookups processed at under 0.3 seconds each.
1L Search - Competitors,Telesign,Responsive search ad,https://www.1lookup.io/compare/telesign,compare,telesign,The Smarter Alternative,Compare Pricing & Coverage,Switch in 5 Minutes,See the Comparison,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,"See how 1Lookup compares on pricing, coverage, and speed before you switch.","7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","Validate phones, emails, and IPs through one API. Under 0.3 seconds per lookup.",Stop paying for bad data. Millions of lookups processed at under 0.3 seconds each.
1L Search - Competitors,ZeroBounce,Responsive search ad,https://www.1lookup.io/compare/zerobounce,compare,zerobounce,The Smarter Alternative,Compare Pricing & Coverage,Switch in 5 Minutes,See the Comparison,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,"See how 1Lookup compares on pricing, coverage, and speed before you switch.","7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","Validate phones, emails, and IPs through one API. Under 0.3 seconds per lookup.",Stop paying for bad data. Millions of lookups processed at under 0.3 seconds each.
1L Search - Competitors,NeverBounce,Responsive search ad,https://www.1lookup.io/compare/neverbounce,compare,neverbounce,The Smarter Alternative,Compare Pricing & Coverage,Switch in 5 Minutes,See the Comparison,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,"See how 1Lookup compares on pricing, coverage, and speed before you switch.","7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","Validate phones, emails, and IPs through one API. Under 0.3 seconds per lookup.",Stop paying for bad data. Millions of lookups processed at under 0.3 seconds each.
1L Search - Competitors,Kickbox,Responsive search ad,https://www.1lookup.io/compare/kickbox,compare,kickbox,The Smarter Alternative,Compare Pricing & Coverage,Switch in 5 Minutes,See the Comparison,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,"See how 1Lookup compares on pricing, coverage, and speed before you switch.","7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","Validate phones, emails, and IPs through one API. Under 0.3 seconds per lookup.",Stop paying for bad data. Millions of lookups processed at under 0.3 seconds each.
1L Search - Competitors,IPQualityScore,Responsive search ad,https://www.1lookup.io/compare/ipqualityscore,compare,ipqualityscore,The Smarter Alternative,Compare Pricing & Coverage,Switch in 5 Minutes,See the Comparison,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,"See how 1Lookup compares on pricing, coverage, and speed before you switch.","7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","Validate phones, emails, and IPs through one API. Under 0.3 seconds per lookup.",Stop paying for bad data. Millions of lookups processed at under 0.3 seconds each.
1L Search - Competitors,Melissa,Responsive search ad,https://www.1lookup.io/compare/melissa,compare,melissa,The Smarter Alternative,Compare Pricing & Coverage,Switch in 5 Minutes,See the Comparison,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,"See how 1Lookup compares on pricing, coverage, and speed before you switch.","7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","Validate phones, emails, and IPs through one API. Under 0.3 seconds per lookup.",Stop paying for bad data. Millions of lookups processed at under 0.3 seconds each.
1L Search - Competitors,HLR Lookups,Responsive search ad,https://www.1lookup.io/compare/hlrlookup,compare,hlrlookup,The Smarter Alternative,Compare Pricing & Coverage,Switch in 5 Minutes,See the Comparison,Stop Paying for Bad Data,7-Day Free Trial,Under 0.3s Per Lookup,Daily FCC & Carrier Data,200+ Countries Covered,1000 Requests/Min Included,"5-Minute Setup, No Contracts",Plans From $99/Month,"See how 1Lookup compares on pricing, coverage, and speed before you switch.","7-day free trial. 5-minute setup, no contracts, cancel anytime. Plans from $99/month.","Validate phones, emails, and IPs through one API. Under 0.3 seconds per lookup.",Stop paying for bad data. Millions of lookups processed at under 0.3 seconds each.
